2026-02-28T01:11:47.249Z [startup] pid=48568 execPath=C:\Users\docrs\AppData\Local\Temp\3AHEGqiFewqZgLeTcc0GrBzl8mR\In-Accord Launcher.exe portableDir=E:\In-Accord-Apps\dist\launcher-build-win32
2026-02-28T01:11:47.302Z [shortcut] already exists: C:\Users\docrs\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\In-Accord Launcher.lnk
2026-02-28T01:11:47.303Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:11:47.303Z [cached-build-seq] 39
2026-02-28T01:11:47.304Z [paths] __dirname=C:\Users\docrs\AppData\Local\Temp\3AHEGqiFewqZgLeTcc0GrBzl8mR\resources\app.asar
2026-02-28T01:11:47.304Z [paths] preload=C:\Users\docrs\AppData\Local\Temp\3AHEGqiFewqZgLeTcc0GrBzl8mR\resources\app.asar\preload.js exists=true
2026-02-28T01:11:47.305Z [paths] index=C:\Users\docrs\AppData\Local\Temp\3AHEGqiFewqZgLeTcc0GrBzl8mR\resources\app.asar\index.html exists=true
2026-02-28T01:11:47.375Z [tray-create] using icon path: E:\In-Accord-Apps\dist\launcher-build-win32\build-source\launcher-ui\build\.tmp-icon\icon-16.png
2026-02-28T01:11:47.414Z [tray-create] menu buildLabel=Build: 39
2026-02-28T01:11:47.941Z [get-asset-path] name=splash.png found=C:\Users\docrs\AppData\Local\Temp\3AHEGqiFewqZgLeTcc0GrBzl8mR\resources\splash.png
2026-02-28T01:11:47.942Z [get-asset-path] name=background.png found=C:\Users\docrs\AppData\Local\Temp\3AHEGqiFewqZgLeTcc0GrBzl8mR\resources\background.png
2026-02-28T01:11:47.978Z [get-asset-path] name=stable.png found=C:\Users\docrs\AppData\Local\Temp\3AHEGqiFewqZgLeTcc0GrBzl8mR\resources\stable.png
2026-02-28T01:11:48.062Z [get-asset-path] name=build/.tmp-icon/icon-16.png found=E:\In-Accord-Apps\dist\launcher-build-win32\build-source\launcher-ui\build\.tmp-icon\icon-16.png
2026-02-28T01:11:48.123Z [get-asset-path] name=ptb.png found=C:\Users\docrs\AppData\Local\Temp\3AHEGqiFewqZgLeTcc0GrBzl8mR\resources\ptb.png
2026-02-28T01:11:48.191Z [get-asset-path] name=canary.png found=C:\Users\docrs\AppData\Local\Temp\3AHEGqiFewqZgLeTcc0GrBzl8mR\resources\canary.png
